,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
251,85.0,4.0,196.0,161.0,3.0,426.0,22.0,5.0,807.0,34.0,3.0,242.0,5.0,4.0,216.0,5.0,4.0,74.0,6.0,3.0,55.0
252,54.0,4.0,232.0,24.0,4.0,593.0,42.0,3.0,726.0,8.0,4.0,162.0,15.0,3.0,178.0,9.0,4.0,36.0,4.0,3.0,16.0
253,85.0,4.0,308.0,50.0,4.0,263.0,31.0,4.0,185.0,28.0,5.0,142.0,36.0,4.0,139.0,7.0,3.0,66.0,6.0,4.0,9.0
254,5.0,4.0,414.0,43.0,4.0,110.0,51.0,5.0,121.0,18.0,4.0,266.0,6.0,3.0,158.0,5.0,4.0,67.0,4.0,3.0,15.0
255,33.0,4.0,192.0,73.0,4.0,236.0,106.0,3.0,133.0,82.0,4.0,268.0,22.0,3.0,129.0,7.0,4.0,36.0,4.0,3.0,14.0
256,127.0,3.0,188.0,7.0,4.0,306.0,77.0,3.0,156.0,25.0,3.0,146.0,30.0,3.0,113.0,15.0,4.0,39.0,3.0,3.0,27.0
257,54.0,3.0,228.0,15.0,3.0,621.0,41.0,4.0,625.0,20.0,6.0,492.0,20.0,4.0,109.0,13.0,3.0,39.0,4.0,3.0,13.0
258,40.0,0.0,526.0,77.0,4.0,485.0,48.0,4.0,477.0,74.0,4.0,239.0,65.0,3.0,194.0,28.0,3.0,53.0,5.0,4.0,12.0
259,95.0,3.0,280.0,39.0,5.0,258.0,23.0,4.0,293.0,26.0,4.0,116.0,17.0,3.0,106.0,6.0,3.0,42.0,5.0,3.0,10.0
260,125.0,3.0,104.0,25.0,4.0,811.0,80.0,3.0,248.0,21.0,4.0,322.0,43.0,4.0,90.0,5.0,4.0,48.0,4.0,5.0,23.0
261,6.0,5.0,3.0,12.0,4.0,282.0,133.0,4.0,208.0,17.0,4.0,240.0,26.0,3.0,71.0,9.0,3.0,58.0,5.0,4.0,36.0
262,25.0,3.0,818.0,6.0,4.0,301.0,11.0,3.0,315.0,40.0,4.0,117.0,9.0,3.0,96.0,22.0,4.0,30.0,4.0,3.0,13.0
263,4.0,3.0,195.0,13.0,4.0,873.0,45.0,4.0,276.0,48.0,4.0,226.0,20.0,4.0,138.0,6.0,3.0,51.0,4.0,4.0,26.0
264,81.0,2.0,329.0,56.0,4.0,146.0,99.0,5.0,390.0,11.0,5.0,243.0,6.0,3.0,144.0,6.0,4.0,56.0,4.0,3.0,12.0
